,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.75,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.5195383931624605,0.8833333333333334,0.8294962456453139,0.8571428571428571,0.7,0.4915966386554622,0.634250721542826,0.2202842417448152
Fold_2,0.7727272727272727,0.6470588235294118,0.7333333333333333,0.6875,0.5124889562304562,0.896551724137931,0.8593671679197994,0.7333333333333333,0.7931034482758621,0.5100222717149221,0.6595093655910416,0.2038318004904317
Fold_3,0.9767441860465116,0.9333333333333333,1.0,0.9655172413793104,0.9492889050691344,1.0,0.9999999999999999,1.0,0.9655172413793104,0.9480048367593712,0.9572405397330123,0.8539595896804292
Fold_4,0.7906976744186046,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.532764181416351,0.8177339901477833,0.7065737923734817,0.7142857142857143,0.8275862068965517,0.532043530834341,0.6878252918763862,0.22213298008441937
Fold_5,0.8604651162790697,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6822660098522167,0.9211822660098523,0.8839660339660338,0.7857142857142857,0.896551724137931,0.6822660098522167,0.7766599597585514,0.3764342046036054
Fold_6,0.8372093023255814,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.680960909877552,0.9408866995073892,0.9225574032742816,0.9285714285714286,0.7931034482758621,0.6606538895152199,0.7340812693603498,0.392847555571504
Fold_7,0.9069767441860465,0.8125,0.9285714285714286,0.8666666666666667,0.7999077726896654,0.9778325123152709,0.9651785714285713,0.9285714285714286,0.896551724137931,0.7957244655581948,0.8391457235121427,0.545246334226788
Fold_8,0.8837209302325582,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.7577586121311761,0.9532019704433499,0.9213685078774592,0.9285714285714286,0.8620689655172413,0.7491248541423571,0.8022367766489124,0.48650031171569735
Fold_9,0.6976744186046512,0.5384615384615384,0.5,0.5185185185185185,0.2990553946834959,0.8509852216748768,0.7185694979746284,0.5,0.7931034482758621,0.29861982434127976,0.6139384266733827,0.06965097524417126
Fold_10,0.9069767441860465,0.8125,0.9285714285714286,0.8666666666666667,0.7999077726896654,0.9852216748768472,0.9761009667024705,0.9285714285714286,0.896551724137931,0.7957244655581948,0.8391457235121427,0.545246334226788
MEAN,0.8383192389006343,0.7216579627802538,0.8304761904761906,0.7692541302371669,0.6533936907802174,0.9226929392446633,0.878317818716204,0.8304761904761906,0.8424137931034483,0.646378078693156,0.7544033798208748,0.39161343275886495
STD,0.0851753292023202,0.1217413170395213,0.14985001319661756,0.12728205138006657,0.1888123174388144,0.06016792466915819,0.10193325832533262,0.14985001319661756,0.07610636388195152,0.18979357867146776,0.10868220774911953,0.22784123089708305
