,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.75,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4600662568376087,0.8595238095238095,0.8161401572892255,0.7142857142857143,0.7666666666666667,0.45495495495495497,0.6421345064833225,0.1645105054997672
Fold_2,0.7727272727272727,0.6470588235294118,0.7333333333333333,0.6875,0.5124889562304562,0.8804597701149426,0.8344876822523881,0.7333333333333333,0.7931034482758621,0.5100222717149221,0.6595093655910416,0.2038318004904317
Fold_3,0.9534883720930233,0.875,1.0,0.9333333333333333,0.9025825017214733,1.0,0.9999999999999999,1.0,0.9310344827586207,0.8978622327790974,0.9156195948666975,0.7603203284083104
Fold_4,0.7209302325581395,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3645320197044335,0.8497536945812809,0.7715397697540555,0.5714285714285714,0.7931034482758621,0.3645320197044335,0.6257545271629779,0.10274689840819116
Fold_5,0.7906976744186046,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.5547454014044435,0.8793103448275863,0.8392426733539264,0.7857142857142857,0.7931034482758621,0.5484247374562428,0.6810655968425662,0.24281952367482193
Fold_6,0.8372093023255814,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6562520067678098,0.9359605911330049,0.9354268022998672,0.8571428571428571,0.8275862068965517,0.6487747957993,0.7374728702006929,0.3494836943254705
Fold_7,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.9802955665024631,0.9637980192076829,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_8,0.7441860465116279,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.5125886314693656,0.9014778325123153,0.8412777698491984,0.8571428571428571,0.6896551724137931,0.4841875681570338,0.625849819413158,0.21396410059191137
Fold_9,0.7906976744186046,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.5151794614295517,0.8694581280788177,0.7434619195897392,0.6428571428571429,0.8620689655172413,0.5144291091593476,0.6971171812549378,0.20911618148128824
Fold_10,0.8837209302325582,0.9090909090909091,0.7142857142857143,0.8,0.7300871985660864,0.9876847290640394,0.9745225013082155,0.7142857142857143,0.9655172413793104,0.7196870925684485,0.8197912873882739,0.4546170519667753
MEAN,0.8150634249471459,0.7064633895516248,0.7733333333333333,0.733081797235023,0.5996699774032707,0.914392446633826,0.8719897294904297,0.7733333333333333,0.835287356321839,0.5931052122195258,0.7247373099304272,0.3221580702138935
STD,0.07739613577365102,0.1290443574672528,0.12426047301918203,0.10791042738610027,0.16553643934353643,0.057023985375298215,0.08975484367098674,0.12426047301918203,0.08649173886699163,0.16611085711889226,0.10162988041184404,0.20200696814282854
