,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.7272727272727273,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.48795003647426655,0.8547619047619047,0.8075175349860223,0.8571428571428571,0.6666666666666666,0.4545454545454546,0.612622697280242,0.19515384676192593
Fold_2,0.7727272727272727,0.6470588235294118,0.7333333333333333,0.6875,0.5124889562304562,0.8850574712643678,0.8346027041065404,0.7333333333333333,0.7931034482758621,0.5100222717149221,0.6595093655910416,0.2038318004904317
Fold_3,0.9767441860465116,1.0,0.9285714285714286,0.9629629629629629,0.9474275949216635,1.0,0.9999999999999999,0.9285714285714286,1.0,0.946047678795483,0.9585361242255396,0.850670874434529
Fold_4,0.7441860465116279,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.3744986023065075,0.7733990147783252,0.688613073434502,0.42857142857142855,0.896551724137931,0.35820895522388063,0.6810963449531898,0.11604693320698223
Fold_5,0.8604651162790697,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6741659355611274,0.9236453201970444,0.88302764486975,0.7142857142857143,0.9310344827586207,0.670076726342711,0.7844758731413308,0.37289298462445974
Fold_6,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.9556650246305419,0.940768722018722,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_7,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.9753694581280788,0.948078322237986,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_8,0.8837209302325582,0.8,0.8571428571428571,0.8275862068965517,0.7410265432427428,0.9236453201970444,0.851420913455075,0.8571428571428571,0.896551724137931,0.7400241837968562,0.8062047189649038,0.4521927160574921
Fold_9,0.7441860465116279,0.6363636363636364,0.5,0.56,0.388850790540633,0.8669950738916257,0.733804290947148,0.5,0.8620689655172413,0.3833116036505868,0.6650055198394391,0.12068143314623599
Fold_10,0.8837209302325582,0.7368421052631579,1.0,0.8484848484848485,0.780897152624087,0.9778325123152709,0.9552211793808432,1.0,0.8275862068965517,0.7576099210822999,0.7998515564995717,0.5713566101144644
MEAN,0.8406976744186047,0.7580004824896465,0.7733333333333333,0.7558456298962295,0.648366029170444,0.9136371100164205,0.8643054385436588,0.7733333333333333,0.8735632183908045,0.639620147495515,0.7653418900696465,0.39231684334204553
STD,0.08660345074444221,0.13610864838406933,0.1832518887327273,0.14263906265839724,0.19490616725024548,0.06950814806728457,0.10114083844086917,0.1832518887327273,0.09337975177742484,0.19969450315209702,0.10766144453170887,0.23648113743654822
