,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.7727272727272727,0.625,0.7142857142857143,0.6666666666666666,0.49795500165523937,0.9,0.874251443001443,0.7142857142857143,0.8,0.49541284403669716,0.6682186037761474,0.19350881699962508
Fold_2,0.75,0.625,0.6666666666666666,0.6451612903225806,0.4530502351829686,0.8896551724137931,0.8455732766259081,0.6666666666666666,0.7931034482758621,0.4524886877828054,0.6402910051709486,0.15800163511371587
Fold_3,0.9534883720930233,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8940886699507389,0.9950738916256158,0.9910714285714286,0.9285714285714286,0.9655172413793104,0.8940886699507389,0.9175050301810865,0.7069159949356204
Fold_4,0.7441860465116279,0.6,0.6428571428571429,0.6206896551724138,0.4286330005031551,0.8275862068965518,0.7759386712350385,0.6428571428571429,0.7931034482758621,0.42805320435308347,0.6408817259619741,0.14196256995326195
Fold_5,0.8372093023255814,0.8181818181818182,0.6428571428571429,0.72,0.6163417292242687,0.9236453201970443,0.8806133924554977,0.6428571428571429,0.9310344827586207,0.6075619295958279,0.7605522899313125,0.31206806732600834
Fold_6,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.958128078817734,0.9378545264259549,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_7,0.8837209302325582,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7313035281756076,0.9679802955665024,0.9296939288535926,0.7857142857142857,0.9310344827586207,0.7302383939774153,0.8119830804389901,0.44123140074424455
Fold_8,0.8837209302325582,0.8,0.8571428571428571,0.8275862068965517,0.7410265432427428,0.9507389162561577,0.9275370661084946,0.8571428571428571,0.896551724137931,0.7400241837968562,0.8062047189649038,0.4521927160574921
Fold_9,0.7674418604651163,0.7,0.5,0.5833333333333334,0.43985130953955026,0.8669950738916257,0.7459987491500095,0.5,0.896551724137931,0.42819148936170215,0.6933399402681245,0.1574382146443866
Fold_10,0.9069767441860465,0.8125,0.9285714285714286,0.8666666666666667,0.7999077726896654,0.9802955665024631,0.974025974025974,0.9285714285714286,0.896551724137931,0.7957244655581948,0.8391457235121427,0.545246334226788
MEAN,0.8406448202959831,0.761254995004995,0.7523809523809524,0.7530632919587312,0.6390335130065414,0.9260098522167489,0.8882558456453342,0.7523809523809524,0.883448275862069,0.6359961208314799,0.7621180468306235,0.36287363672931106
STD,0.0765569256585265,0.11481926390535446,0.14206127514453615,0.120388142061968,0.17353950700227255,0.05405257698109637,0.08067512243846643,0.14206127514453615,0.06440475130777219,0.17501036023085886,0.09669535494992647,0.19853035575392874
