,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.75,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.4880732924952131,0.8880952380952382,0.8328602170381938,0.7857142857142857,0.7333333333333333,0.4739130434782609,0.6368775446425626,0.18804236755629905
Fold_2,0.7727272727272727,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.5606798254669992,0.8988505747126436,0.8570250305250304,0.8666666666666667,0.7241379310344828,0.5387840670859538,0.6517158999639713,0.25498205487756176
Fold_3,0.5581395348837209,0.42424242424242425,1.0,0.5957446808510638,0.3824793995996089,0.9975369458128079,0.9952380952380953,1.0,0.3448275862068966,0.25524156791248853,0.5752847612494979,0.18391390306173375
Fold_4,0.6744186046511628,0.5,0.6428571428571429,0.5625,0.3158380828546184,0.8177339901477833,0.7108443457127667,0.6428571428571429,0.6896551724137931,0.30963302752293576,0.5732467598570103,0.07616308676704525
Fold_5,0.8604651162790697,0.7222222222222222,0.9285714285714286,0.8125,0.718239195824947,0.9310344827586208,0.940819597069597,0.9285714285714286,0.8275862068965517,0.7041284403669725,0.7671390462792343,0.4364122547728621
Fold_6,0.813953488372093,0.65,0.9285714285714286,0.7647058823529411,0.6455981402261979,0.9482758620689656,0.9419421304501949,0.9285714285714286,0.7586206896551724,0.6186252771618626,0.7032890933488265,0.35439666933166264
Fold_7,0.32558139534883723,0.32558139534883723,1.0,0.49122807017543857,0.0,0.9778325123152709,0.9560617078999432,1.0,0.0,0.0,0.7418811204628575,0.0
Fold_8,0.7674418604651163,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.5795484076523008,0.9482758620689655,0.903548431128811,0.9285714285714286,0.6896551724137931,0.5386266094420601,0.6493458877187716,0.28911896131363884
Fold_9,0.8372093023255814,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.6232414948025797,0.8842364532019704,0.7580865706642104,0.7142857142857143,0.896551724137931,0.6223337515683813,0.7505892377716519,0.3115042777843074
Fold_10,0.8837209302325582,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.7577586121311761,0.9729064039408867,0.9593837535014005,0.9285714285714286,0.8620689655172413,0.7491248541423571,0.8022367766489124,0.48650031171569735
MEAN,0.7243657505285412,0.5944886771774958,0.8723809523809523,0.691724016265065,0.5071456451053641,0.9264778325123151,0.8855809879228242,0.8723809523809523,0.6526436781609195,0.4810410638681272,0.6851606127943295,0.2581033887180808
STD,0.16953632108977248,0.14529149683739273,0.1203798472924965,0.11181247713856854,0.22554217904040602,0.05442571953093974,0.0939103683612119,0.1203798472924965,0.27492273022937974,0.23069887204978962,0.07998886430416172,0.15172607798678237
