,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.75,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4600662568376087,0.9071428571428571,0.8774540517961569,0.7142857142857143,0.7666666666666667,0.45495495495495497,0.6421345064833225,0.1645105054997672
Fold_2,0.7272727272727273,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.4952308186031472,0.903448275862069,0.8619201113643837,0.8666666666666667,0.6551724137931034,0.4623217922606925,0.6064864053292477,0.20044302401047057
Fold_3,0.7441860465116279,0.56,1.0,0.717948717948718,0.589564421328621,0.9926108374384237,0.9846415489272632,1.0,0.6206896551724138,0.5158648925281474,0.6301499308722283,0.35428930887944093
Fold_4,0.6976744186046512,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.4133034460946687,0.8078817733990148,0.7117909586236654,0.7857142857142857,0.6551724137931034,0.39040348964013083,0.5852657014307348,0.1348463720309532
Fold_5,0.8837209302325582,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7313035281756076,0.9458128078817734,0.9315252416756175,0.7857142857142857,0.9310344827586207,0.7302383939774153,0.8119830804389901,0.44123140074424455
Fold_6,0.6744186046511628,0.5,1.0,0.6666666666666666,0.5085476277156078,0.9507389162561577,0.9375575691365163,1.0,0.5172413793103449,0.41095890410958913,0.5857740616276642,0.2812075705022014
Fold_7,0.9302325581395349,0.8235294117647058,1.0,0.9032258064516129,0.8592652174945423,0.9827586206896552,0.9676670668267306,1.0,0.896551724137931,0.8494749124854142,0.8753573161872247,0.6862418931884773
Fold_8,0.813953488372093,0.65,0.9285714285714286,0.7647058823529411,0.6455981402261979,0.9482758620689655,0.8911857937661737,0.9285714285714286,0.7586206896551724,0.6186252771618626,0.7032890933488265,0.35439666933166264
Fold_9,0.7906976744186046,0.631578947368421,0.8571428571428571,0.7272727272727273,0.5810246671310171,0.8891625615763548,0.7661095977866164,0.8571428571428571,0.7586206896551724,0.5636978579481398,0.676797470884253,0.2734493679246654
Fold_10,0.8837209302325582,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.7577586121311761,0.9630541871921182,0.9591836734693877,0.9285714285714286,0.8620689655172413,0.7491248541423571,0.8022367766489124,0.48650031171569735
MEAN,0.7895877378435519,0.6453230296871433,0.8866666666666665,0.7391287538136634,0.6041662735738195,0.9290886699507388,0.8889035613372511,0.8866666666666665,0.742183908045977,0.5745665329208702,0.6919474343251404,0.337711642382758
STD,0.08648805547101084,0.12445160957525846,0.1018795399732201,0.09014525549495811,0.1435651610844544,0.0543752583059747,0.0893210217177741,0.1018795399732201,0.1314483951331476,0.1575413281639203,0.10372359564837437,0.16739803820384522
