,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.8409090909090909,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.6271082838843803,0.8785714285714286,0.8097410999973111,0.7142857142857143,0.9,0.6262135922330097,0.7578133231264957,0.3163728148158529
Fold_2,0.8409090909090909,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.6361552378075954,0.9126436781609195,0.8756598956598955,0.6666666666666666,0.9310344827586207,0.6280193236714975,0.7594790550561946,0.3316371850777097
Fold_3,0.9534883720930233,0.875,1.0,0.9333333333333333,0.9025825017214733,1.0,0.9999999999999999,1.0,0.9310344827586207,0.8978622327790974,0.9156195948666975,0.7603203284083104
Fold_4,0.7441860465116279,0.6,0.6428571428571429,0.6206896551724138,0.4286330005031551,0.8201970443349754,0.7528568798833876,0.6428571428571429,0.7931034482758621,0.42805320435308347,0.6408817259619741,0.14196256995326195
Fold_5,0.8604651162790697,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6741659355611274,0.9334975369458128,0.9014516811509292,0.7142857142857143,0.9310344827586207,0.670076726342711,0.7844758731413308,0.37289298462445974
Fold_6,0.9302325581395349,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8451577241559386,0.9729064039408868,0.9625258799171842,0.9285714285714286,0.9310344827586207,0.8440145102781137,0.8776405801390091,0.6162450531736965
Fold_7,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.9729064039408867,0.9456508769008768,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_8,0.8604651162790697,0.7,1.0,0.8235294117647058,0.7450989288632104,0.9556650246305418,0.9159793422951317,1.0,0.7931034482758621,0.7139689578713969,0.7650932864006931,0.5248965613940718
Fold_9,0.8604651162790697,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6822660098522167,0.8866995073891626,0.8064138242709671,0.7857142857142857,0.896551724137931,0.6822660098522167,0.7766599597585514,0.3764342046036054
Fold_10,0.9302325581395349,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8451577241559386,0.9802955665024631,0.974025974025974,0.9285714285714286,0.9310344827586207,0.8440145102781137,0.8776405801390091,0.6162450531736965
MEAN,0.8728329809725158,0.7987087912087911,0.8238095238095238,0.8064225242115709,0.7174502686406513,0.9313382594417077,0.8944305454101658,0.8238095238095238,0.896896551724138,0.7122666407560718,0.7998362328690559,0.45771773725166315
STD,0.06083466399646236,0.08890417577176903,0.13663707439147518,0.09437222189384807,0.13902698991122925,0.05641349472009056,0.08203601604716594,0.13663707439147518,0.056320666185300766,0.13859858100715397,0.08029271854875525,0.18245905913644794
