,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.8181818181818182,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.580952380952381,0.8880952380952382,0.8606376188919503,0.7142857142857143,0.8666666666666667,0.5809523809523809,0.7262357414448669,0.26763001658177893
Fold_2,0.8181818181818182,0.7058823529411765,0.8,0.75,0.6109584500039936,0.9126436781609195,0.8803307320698625,0.8,0.8275862068965517,0.6080178173719377,0.71162864676237,0.2957407610887653
Fold_3,0.8604651162790697,0.7,1.0,0.8235294117647058,0.7450989288632104,0.9975369458128079,0.9952380952380953,1.0,0.7931034482758621,0.7139689578713969,0.7650932864006931,0.5248965613940718
Fold_4,0.7441860465116279,0.6,0.6428571428571429,0.6206896551724138,0.4286330005031551,0.8201970443349754,0.7807261248349944,0.6428571428571429,0.7931034482758621,0.42805320435308347,0.6408817259619741,0.14196256995326195
Fold_5,0.8604651162790697,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6822660098522167,0.9334975369458127,0.9166666666666665,0.7857142857142857,0.896551724137931,0.6822660098522167,0.7766599597585514,0.3764342046036054
Fold_6,0.9302325581395349,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8451577241559386,0.9605911330049262,0.9505901505901506,0.9285714285714286,0.9310344827586207,0.8440145102781137,0.8776405801390091,0.6162450531736965
Fold_7,0.9069767441860465,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7881773399014779,0.9802955665024631,0.9637980192076829,0.8571428571428571,0.9310344827586207,0.7881773399014779,0.8430583501006035,0.520170617291967
Fold_8,0.8604651162790697,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6822660098522167,0.9605911330049262,0.9393621084797554,0.7857142857142857,0.896551724137931,0.6822660098522167,0.7766599597585514,0.3764342046036054
Fold_9,0.8372093023255814,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6562520067678098,0.8793103448275862,0.7941620362039615,0.8571428571428571,0.8275862068965517,0.6487747957993,0.7374728702006929,0.3494836943254705
Fold_10,0.9534883720930233,1.0,0.8571428571428571,0.9230769230769231,0.8954570441804286,0.9852216748768473,0.9785714285714284,0.8571428571428571,1.0,0.8900255754475703,0.9207371910566985,0.7498236990175188
MEAN,0.858985200845666,0.7721288515406163,0.8228571428571427,0.7930898405396214,0.6915218895032829,0.9317980295566501,0.9060082980754547,0.8228571428571427,0.8763218390804598,0.6866516601679693,0.7776068311584011,0.42188213820337417
STD,0.06082731627248965,0.1132416817740016,0.10195370431293434,0.08874737897770199,0.13607524529960613,0.05644587980923928,0.07505825936695962,0.10195370431293434,0.06732663161624612,0.13452782418985418,0.08315442996988816,0.18044023303490628
