,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.8181818181818182,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.580952380952381,0.8904761904761905,0.8512635756056808,0.7142857142857143,0.8666666666666667,0.5809523809523809,0.7262357414448669,0.26763001658177893
Fold_2,0.7727272727272727,0.6470588235294118,0.7333333333333333,0.6875,0.5124889562304562,0.864367816091954,0.8080043332236314,0.7333333333333333,0.7931034482758621,0.5100222717149221,0.6595093655910416,0.2038318004904317
Fold_3,0.9767441860465116,0.9333333333333333,1.0,0.9655172413793104,0.9492889050691344,0.9975369458128079,0.9952380952380953,1.0,0.9655172413793104,0.9480048367593712,0.9572405397330123,0.8539595896804292
Fold_4,0.7209302325581395,0.5625,0.6428571428571429,0.6,0.3892088565624342,0.7758620689655172,0.672566869142249,0.6428571428571429,0.7586206896551724,0.3871733966745843,0.6159246936123609,0.11638932889474071
Fold_5,0.8372093023255814,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.6184901159304442,0.9334975369458128,0.8988780267351695,0.5714285714285714,0.9655172413793104,0.5915875169606513,0.7728883051894688,0.3313344866754706
Fold_6,0.8837209302325582,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7313035281756076,0.9162561576354681,0.9052721088435373,0.7857142857142857,0.9310344827586207,0.7302383939774153,0.8119830804389901,0.44123140074424455
Fold_7,0.8372093023255814,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6562520067678098,0.9211822660098523,0.9103873162168092,0.8571428571428571,0.8275862068965517,0.6487747957993,0.7374728702006929,0.3494836943254705
Fold_8,0.8604651162790697,0.75,0.8571428571428571,0.8,0.6972330436578577,0.9458128078817736,0.9206344076091975,0.8571428571428571,0.8620689655172413,0.6935866983372921,0.7709392977094316,0.39651605255191114
Fold_9,0.7674418604651163,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.47044334975369456,0.8669950738916256,0.7323246722931597,0.6428571428571429,0.8275862068965517,0.4704433497536946,0.6680080482897385,0.17239138177579852
Fold_10,0.9069767441860465,0.8125,0.9285714285714286,0.8666666666666667,0.7999077726896654,0.9852216748768473,0.9785714285714284,0.9285714285714286,0.896551724137931,0.7957244655581948,0.8391457235121427,0.545246334226788
MEAN,0.8381606765327694,0.7503460101989514,0.7733333333333333,0.7561487302303789,0.6405568915789486,0.909720853858785,0.8673140833478957,0.7733333333333333,0.8694252873563219,0.6356508106487806,0.7559347665721747,0.36780140859470645
STD,0.074491526965477,0.11855915265454482,0.13726625841469037,0.11009190597588667,0.16497714405042446,0.06465721203954553,0.10317304130624175,0.13726625841469037,0.07044642451725086,0.16513118753122447,0.09941870467875037,0.21448434307122174
