,accuracy,precision,recall,f1,mcc,auroc,auprc,sensitivity,specificity,kappa,fmi,nmi
Fold_1,0.8636363636363636,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6857142857142857,0.8904761904761905,0.8477104877038534,0.7857142857142857,0.9,0.6857142857142857,0.7832699619771863,0.38133703408349634
Fold_2,0.7272727272727273,0.6,0.6,0.6,0.3931034482758621,0.8896551724137931,0.8363271741445115,0.6,0.7931034482758621,0.3931034482758621,0.6242661448140902,0.1187368982507709
Fold_3,0.9069767441860465,0.7777777777777778,1.0,0.875,0.8188394740675291,1.0,0.9999999999999999,1.0,0.8620689655172413,0.8027522935779816,0.8366873664089453,0.6244344627156495
Fold_4,0.7209302325581395,0.5625,0.6428571428571429,0.6,0.3892088565624342,0.8152709359605911,0.7862335350426782,0.6428571428571429,0.7586206896551724,0.3871733966745843,0.6159246936123609,0.11638932889474071
Fold_5,0.9069767441860465,1.0,0.7142857142857143,0.8333333333333334,0.7922787563134757,0.9433497536945814,0.9399870962370962,0.7142857142857143,1.0,0.7712765957446808,0.8563685208176565,0.5924272722372305
Fold_6,0.8372093023255814,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6368953623295468,0.9532019704433498,0.9240559860307759,0.7857142857142857,0.8620689655172413,0.6360338573155986,0.7429329562106961,0.3239942263104943
Fold_7,0.9069767441860465,0.8125,0.9285714285714286,0.8666666666666667,0.7999077726896654,0.9729064039408867,0.9516536877909059,0.9285714285714286,0.896551724137931,0.7957244655581948,0.8391457235121427,0.545246334226788
Fold_8,0.8837209302325582,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7313035281756076,0.9384236453201971,0.926165627541339,0.7857142857142857,0.9310344827586207,0.7302383939774153,0.8119830804389901,0.44123140074424455
Fold_9,0.7674418604651163,0.75,0.42857142857142855,0.5454545454545454,0.4330228592373584,0.896551724137931,0.7595884274455703,0.42857142857142855,0.9310344827586207,0.40443213296398894,0.7098635521111246,0.1598794192144598
Fold_10,0.9069767441860465,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.784811489870778,0.9778325123152709,0.9602323115481008,0.7857142857142857,0.9655172413793104,0.7800511508951407,0.848713351587147,0.5261279477795374
MEAN,0.8428118393234671,0.778464590964591,0.7457142857142858,0.7525758181792663,0.6465085833236544,0.9277668308702791,0.8931954333484832,0.7457142857142858,0.8899999999999999,0.6386500020697733,0.766915535149034,0.3829804324457412
STD,0.07637057985831283,0.13136395727573558,0.1625756408637763,0.12371535383995369,0.17588475852560706,0.055013054382360746,0.08037547445333189,0.1625756408637763,0.07417935223536175,0.17581176022083803,0.09070939834604959,0.19622386138756376
